img_id	name	file_type	description	site_tags	seller_tags	buyer_rating	price	in_stock
72266	Wind-Swept Horse	png	A horse running in a field, wind blowing through its mane.	horse,animal,nature	wild horse,natural,field,wind,run,running,cowboy,western	5	1.99	0
40895	Cute Puppy	jpeg	A sketch of very cute German Shepherd puppy sitting down.	dog,animal,nature	domestic,puppy,cute,german shepherd,art study,sketch,black and white art	4	3.00	1
22891	Finding Nemo	pdf	A clownfish swimming in a reef.	fish,animal,nature	underwater,underwater photography,clownfish,finding nemo,arts and life,natural geographic,just keep swimming	3	2.50	0
2840	Finding Dory	pdf	A blue fish swimming in a reef.	fish,animal,nature	underwater,underwater photography,clownfish,finding nemo,finding dory,arts and life,natural geographic,just keep swimming	3	2.50	1
72453	Pink Vintage Car	png	pink vintage car in sunlight	transportation,vintage,city	pink,vintage,car,corvette,sunny day,sun,sunlight,golden hour	4	3.79	1
38846	Childhood	jpeg	A girl holding a big red balloon, gazing up at it in wonder.	girl,people,vintage	little girl,whimsical,nostalgia,photography,vintage photography	3	3.50	1
25024	Cute Bunny	tiff	cute little floppy-eared bunny!	rabbit,animal,nature	domestic,bunny,cute,white rabbit,carrots	5	3.47	1
75345	Bugs Bunny	gif	what's up doc	rabbit,animal,cartoon	bunny,carrot	5	4.99	0
56533	My Little Pony Horror	pdf	a small art study, idk	horse,animal,cartoon	my art	5	2.99	0
72722	Corn Field in Winter	bmp	A corn field on a sunny winter day.	landscape,nature	corn field,natural,landscape photography,photography,winter blues,seasons	2	5.99	1
5490	Boy at the Beach	jpeg	A boy playing in the sun and sand.	boy,people	beach day,sunny day,sand castles	2	4.50	1
67360	Bike Riding	png	A close-up of a bicycle tire, playground in the background.	transportation,school	photography,close-up	1	3.00	1
566	Baby in a Basket	jpeg	A smiling baby in a basket.	baby,people	family,family photography,baby shower,newborn,newborn photoshoot	4	3.77	1
43682	Smiley Face	svg	A yellow smiling face	cartoon	forrest gump	1	3.45	1
9745	Baseball Card	svg	babe ruth	sports,vintage	baseball player,collectible	2	7.88	1
47947	Old Woman Knitting	jpeg	old woman knitting	woman,people	grandma,rocking chair,yarn,scarf,sweater,cozy,photography,portrait,portrait photography	5	4.55	1
49747	My Wish	png	a still-life painting of a lit birthday cake	an art study food	birthday cake	5	3.88	0
35498	Mama Mia!	jpeg	here i go again	entertainment,people	poster,movies,movie poster,actors,actresses,hollywood	5	4.90	0
13407	Children laughing	png	a group of kids laughing together at a playground	people,school	laughter,childhood	4	3.60	1
